ID,昵称,法币,带单规模,跟单收益,人数上限,跟单人数,累计跟单人数,近七日跟单人数,近七日跟单比例,平均持仓秒,盈利笔数,亏损笔数,总笔数,盈亏比,胜率,收益率,收益额,总做多倍数,总做空倍数,币种,币种类型,杠杆倍数,开仓均价,开仓时间,强平价,全仓逐仓,当前收益率,仓位倍数,多空,net方向
4C60A46782677D10,Flashy-NFT-Fern,USDT,36339.3378781984843404,2926.9089286500000925,500,352,2094,23,0.0111,819926.0,4,6,10,4.1298,0.8,0.0171,36.5007,0.33,,LUNA-USDT-SWAP,SWAP,20,0.4758529411764706,1698630644855,0.1086768213298458,isolated,-1.3303665245070784,0.3291137793363702,net,1
D04FED8FE6D7EF2C,maneki-neko,USDT,2054.338696151136768,-126917.1076872999999022,100,11,1049,0,0.0000,55819.0,69,30,99,0.2251,0.4167,-0.4252,-1103.4700000000000063,,10.32,BCH-USDT-SWAP,SWAP,50,238.28,1699047130331,558.3503473055234,cross,0.0482625482625454,0.7023263841320435,net,-1
D04FED8FE6D7EF2C,maneki-neko,USDT,2054.338696151136768,-126917.1076872999999022,100,11,1049,0,0.0000,55819.0,69,30,99,0.2251,0.4167,-0.4252,-1103.4700000000000063,,10.32,BTC-USDT-SWAP,SWAP,100,34614.2,1699041442906,41103.65021874887,cross,-0.1950066735617151,5.1161253846990739,net,-1
D04FED8FE6D7EF2C,maneki-neko,USDT,2054.338696151136768,-126917.1076872999999022,100,11,1049,0,0.0000,55819.0,69,30,99,0.2251,0.4167,-0.4252,-1103.4700000000000063,,10.32,ETH-USDT-SWAP,SWAP,100,1824.77,1699036594233,2214.2170131249322,cross,-0.2263298936304281,4.496550878453736,net,-1
20ED101224FD59FE,Tire,USDT,0,-3748.1760945,100,1,10,0,0.0000,276380.0,272,66,338,0.0864,0.5,-0.4812,-1528.7174585,,0.42,BTC-USDT-SWAP,SWAP,100,34552.4525192012288788,1698854167722,117611.28818916177,cross,-0.3740616696512156,0.4155545466647619,short,1
7A5C99C9D9CA05E3,Awkward-Scrypt-Vents,USDT,872.2665679046054634,-14371.2860623059023797,100,38,348,0,0.0000,151589.0,42,26,68,0.2063,0.6923,-0.3001,-1712.2216098999999988,2.18,2.37,EOS-USDT-SWAP,SWAP,50,0.6485,1698967347319,,cross,0.3623747108712494,0.301958494589132,long,1
7A5C99C9D9CA05E3,Awkward-Scrypt-Vents,USDT,872.2665679046054634,-14371.2860623059023797,100,38,348,0,0.0000,151589.0,42,26,68,0.2063,0.6923,-0.3001,-1712.2216098999999988,2.18,2.37,LTC-USDT-SWAP,SWAP,50,69.2786428571428572,1698248062151,8.671713181907988,cross,0.1092379531519305,0.4814370394823202,long,1
7A5C99C9D9CA05E3,Awkward-Scrypt-Vents,USDT,872.2665679046054634,-14371.2860623059023797,100,38,348,0,0.0000,151589.0,42,26,68,0.2063,0.6923,-0.3001,-1712.2216098999999988,2.18,2.37,TRB-USDT-SWAP,SWAP,50,99.2189,1698224294429,170.31010029791463,isolated,-6.671158418406165,0.2599306983007503,short,1
7A5C99C9D9CA05E3,Awkward-Scrypt-Vents,USDT,872.2665679046054634,-14371.2860623059023797,100,38,348,0,0.0000,151589.0,42,26,68,0.2063,0.6923,-0.3001,-1712.2216098999999988,2.18,2.37,BTC-USDT-SWAP,SWAP,50,34425.8,1698159131909,44165.28368557785,cross,-0.3716689227265535,1.5230882158148045,short,1
7A5C99C9D9CA05E3,Awkward-Scrypt-Vents,USDT,872.2665679046054634,-14371.2860623059023797,100,38,348,0,0.0000,151589.0,42,26,68,0.2063,0.6923,-0.3001,-1712.2216098999999988,2.18,2.37,ETH-USDT-SWAP,SWAP,50,1817.9491735537190085,1698144022793,1277.9390501770204,cross,0.3011862654244246,1.395002479706376,long,1
7A5C99C9D9CA05E3,Awkward-Scrypt-Vents,USDT,872.2665679046054634,-14371.2860623059023797,100,38,348,0,0.0000,151589.0,42,26,68,0.2063,0.6923,-0.3001,-1712.2216098999999988,2.18,2.37,TRB-USDT-SWAP,SWAP,50,97.8968209652076321,1698046610669,192.34177829906042,cross,-7.436492263608341,0.5848440711766881,short,1
EF48FB0044452E68,JinZhiXi,USDT,1.2752386762325696,-376.6662942499991575,100,2,47,0,0.0000,37366.0,38,76,114,1.8099,0.52,-0.3767,-327.4888000000037199,3.50,,AVAX-USDT-SWAP,SWAP,50,11.6021764705882353,1698977825315,10.56271198388721,isolated,2.1022931802856415,1.0143991695793153,net,1
EF48FB0044452E68,JinZhiXi,USDT,1.2752386762325696,-376.6662942499991575,100,2,47,0,0.0000,37366.0,38,76,114,1.8099,0.52,-0.3767,-327.4888000000037199,3.50,,MANA-USDT-SWAP,SWAP,30,0.3887,1698974194154,0.369454455547809,isolated,1.0110625160792353,1.5468143694002615,net,1
EF48FB0044452E68,JinZhiXi,USDT,1.2752386762325696,-376.6662942499991575,100,2,47,0,0.0000,37366.0,38,76,114,1.8099,0.52,-0.3767,-327.4888000000037199,3.50,,DOT-USDT-SWAP,SWAP,50,4.565,1698942072463,4.137803969248153,isolated,0.5476451259583737,0.9338760223419947,net,1
7EC9E0ED8BF3C18E,Previous-Jager-Plum,USDT,0,-386.4145706499999171,100,0,11,0,0.0000,332382.0,76,12,88,1.0357,0.72,1.1845,7510.2978322999989717,2.64,,UNI-USDT-SWAP,SWAP,20,4.628,1699039810184,,cross,0.1253241140881567,0.7942119517764059,long,1
7EC9E0ED8BF3C18E,Previous-Jager-Plum,USDT,0,-386.4145706499999171,100,0,11,0,0.0000,332382.0,76,12,88,1.0357,0.72,1.1845,7510.2978322999989717,2.64,,COMP-USDT-SWAP,SWAP,20,46.18,1699039329832,,cross,0.3637938501515814,0.4009431605381856,long,1
7EC9E0ED8BF3C18E,Previous-Jager-Plum,USDT,0,-386.4145706499999171,100,0,11,0,0.0000,332382.0,76,12,88,1.0357,0.72,1.1845,7510.2978322999989717,2.64,,YFI-USDT-SWAP,SWAP,20,5690,1698948690983,,cross,-0.0984182776801412,0.4828030997378151,long,1
7EC9E0ED8BF3C18E,Previous-Jager-Plum,USDT,0,-386.4145706499999171,100,0,11,0,0.0000,332382.0,76,12,88,1.0357,0.72,1.1845,7510.2978322999989717,2.64,,YFII-USDT-SWAP,SWAP,20,569.9017550000000016,1698753361201,,cross,-0.1895679370210046,0.9627069932956434,long,1
EFBCE05435007996,存活了8年的老韭菜,USDT,16111.1427179528338476,-13351.1743942988017618,500,270,1413,0,0.0000,1732907.0,48,19,67,1.5746,0.5,-0.066,-2321.4984999999996,4.64,,MASK-USDT-SWAP,SWAP,1,3.3566149068322982,1699028786475,,cross,-0.0064394955728468,0.0432604999061385,long,1
EFBCE05435007996,存活了8年的老韭菜,USDT,16111.1427179528338476,-13351.1743942988017618,500,270,1413,0,0.0000,1732907.0,48,19,67,1.5746,0.5,-0.066,-2321.4984999999996,4.64,,LTC-USD-SWAP,SWAP,4,69.9705116506059609,1698118575361,55.956345727479324,cross,-0.0293988857245013,1.3163609696997463,long,1
EFBCE05435007996,存活了8年的老韭菜,USDT,16111.1427179528338476,-13351.1743942988017618,500,270,1413,0,0.0000,1732907.0,48,19,67,1.5746,0.5,-0.066,-2321.4984999999996,4.64,,LTC-USDT-SWAP,SWAP,5.5,70.5128449744463376,1698117118726,55.842270960597226,cross,-0.0844618787061158,3.2836365863272768,long,1
4D868D6D8322F0DE,Modest-Attack-Yarrow,USDT,0,-15.01529425,100,0,5,0,0.0000,42648.0,15,4,19,0.7059,0.8333,0.3531,776.3682000000007976,,7.16,GAS-USDT-SWAP,SWAP,20,8.343,1699021460882,9.557418984514706,cross,-0.2445163610212164,7.1609007144302429,short,1
